DATE,AF,IN,QD
1999-12-17,5159.361,0.0,0.0
1999-12-18,5159.361,0.0,0.0
1999-12-19,5159.361,0.0,0.0
1999-12-20,5159.361,0.0,0.0
1999-12-21,5159.361,0.0,0.0
1999-12-22,5159.361,0.0,0.0
1999-12-23,5159.361,0.0,0.0
1999-12-24,5159.361,0.0,0.0
1999-12-25,5159.361,0.0,0.0
1999-12-26,5159.361,0.0,0.0
1999-12-27,5159.361,0.0,0.0
1999-12-28,5159.361,0.0,0.0
1999-12-29,5159.361,0.0,0.0
1999-12-30,5159.361,0.0,0.0
1999-12-31,5159.361,0.0,0.0
2000-01-01,5156.848,-1.267,0.0
2000-01-02,5154.334,-1.267,0.0
2000-01-03,5151.82,-1.267,0.0
2000-01-04,5149.307,-1.267,0.0
2000-01-05,5146.793,-1.267,0.0
2000-01-06,5144.279,-1.267,0.0
2000-01-07,5141.766,-1.267,0.0
2000-01-08,5139.252,-1.267,0.0
2000-01-09,5136.738,-1.267,0.0
2000-01-10,5134.225,-1.267,0.0
2000-01-11,5131.711,-1.267,0.0
2000-01-12,5129.197,-1.267,0.0
2000-01-13,5126.684,-1.267,0.0
2000-01-14,5124.17,-1.267,0.0
2000-01-15,5121.656,-1.267,0.0
2000-01-16,5119.143,-1.267,0.0
2000-01-17,5116.629,-1.267,0.0
2000-01-18,5114.115,-1.267,0.0
2000-01-19,5111.602,-1.267,0.0
2000-01-20,5109.088,-1.267,0.0
2000-01-21,5106.381,-1.365,0.0
2000-01-22,5103.867,-1.267,0.0
2000-01-23,5101.16,-1.365,0.0
2000-01-24,5098.646,-1.267,0.0
2000-01-25,5095.939,-1.365,0.0
2000-01-26,5093.426,-1.267,0.0
2000-01-27,5090.719,-1.365,0.0
2000-01-28,5088.205,-1.267,0.0
2000-01-29,5085.498,-1.365,0.0
2000-01-30,5082.984,-1.267,0.0
2000-01-31,5080.277,-1.365,0.0
2000-02-01,5088.398,4.094,0.0
2000-02-02,5096.52,4.094,0.0
2000-02-03,5104.641,4.094,0.0
2000-02-04,5112.762,4.094,0.0
2000-02-05,5120.883,4.094,0.0
2000-02-06,5129.004,4.094,0.0
2000-02-07,5137.125,4.094,0.0
2000-02-08,5145.246,4.094,0.0
2000-02-09,5153.367,4.094,0.0
2000-02-10,5161.682,4.192,0.0
2000-02-11,5169.803,4.094,0.0
2000-02-12,5178.117,4.192,0.0
2000-02-13,5186.238,4.094,0.0
2000-02-14,5194.553,4.192,0.0
2000-02-15,5202.674,4.094,0.0
2000-02-16,5210.988,4.192,0.0
2000-02-17,5219.109,4.094,0.0
2000-02-18,5227.424,4.192,0.0
2000-02-19,5235.545,4.094,0.0
2000-02-20,5243.859,4.192,0.0
2000-02-21,5251.98,4.094,0.0
2000-02-22,5260.295,4.192,0.0
2000-02-23,5268.416,4.094,0.0
2000-02-24,5276.73,4.192,0.0
2000-02-25,5284.852,4.094,0.0
2000-02-26,5293.166,4.192,0.0
2000-02-27,5301.287,4.094,0.0
2000-02-28,5309.602,4.192,0.0
2000-02-29,5317.723,4.094,0.0
2000-03-01,5310.762,-3.509,0.0
2000-03-02,5303.801,-3.509,0.0
2000-03-03,5296.84,-3.509,0.0
2000-03-04,5289.879,-3.509,0.0
2000-03-05,5282.918,-3.509,0.0
2000-03-06,5275.957,-3.509,0.0
2000-03-07,5269.189,-3.412,0.0
2000-03-08,5262.229,-3.509,0.0
2000-03-09,5255.461,-3.412,0.0
2000-03-10,5248.5,-3.509,0.0
2000-03-11,5179.277,-34.9,0.0
2000-03-12,5110.055,-34.9,0.0
2000-03-13,5040.639,-34.997,0.0
2000-03-14,5034.064,-3.315,0.0
