DATE,AF,CHSTOR,IN,QD
1991-05-20,95697.352,1489.922,809.172,58.002
1991-05-21,97380.82,1683.469,905.832,57.083
1991-05-22,99992.766,2611.945,1375.806,58.949
1991-05-23,102382.766,2390.0,1263.167,58.208
1991-05-24,104302.0,1919.234,1022.841,55.227
1991-05-25,106812.867,2510.867,1318.939,53.043
1991-05-26,109343.688,2530.82,1329.579,53.623
1991-05-27,111474.914,2131.227,1128.823,54.329
1991-05-28,112968.906,1493.992,807.551,54.329
1991-05-29,114216.297,1247.391,683.222,54.329
1991-05-30,115070.93,854.633,484.361,53.483
1991-05-31,116238.234,1167.305,644.046,55.53
1991-06-01,117270.984,1032.75,575.007,54.329
1991-06-02,120788.336,3517.352,1827.662,54.329
1991-06-03,124490.164,3701.828,1920.669,54.329
1991-06-04,127258.312,2768.148,1518.265,122.656
1991-06-05,129960.016,2701.703,1594.758,232.649
1991-06-06,132923.125,2963.109,1804.233,310.331
1991-06-07,135758.891,2835.766,1825.548,395.849
1991-06-08,138342.094,2583.203,1809.016,506.65
1991-06-09,140479.797,2137.703,1760.139,682.379
1991-06-10,142570.656,2090.859,1828.949,774.807
1991-06-11,144549.719,1979.062,2097.778,1100.0
1991-06-12,147096.5,2546.781,2784.003,1500.0
1991-06-13,149721.609,2625.109,3303.493,1980.0
1991-06-14,151011.969,1290.359,2950.557,2300.0
1991-06-15,149942.812,-1069.156,2180.967,2720.0
1991-06-16,148252.016,-1690.797,1597.556,2450.0
1991-06-17,148095.0,-157.016,1520.838,1600.0
1991-06-18,148687.984,592.984,1308.755,1009.792
1991-06-19,149220.016,532.031,1284.888,1016.655
1991-06-20,150036.516,816.5,1432.562,1020.91
1991-06-21,150792.297,755.781,1402.973,1021.933
1991-06-22,151452.828,660.531,1358.429,1025.411
1991-06-23,151515.812,62.984,1322.194,1290.439
1991-06-24,150886.0,-629.812,1125.587,1443.117
1991-06-25,150477.391,-408.609,1122.699,1328.707
1991-06-26,149942.812,-534.578,909.274,1178.79
1991-06-27,149532.672,-410.141,843.622,1050.402
1991-06-28,149220.016,-312.656,735.015,892.646
1991-06-29,149063.0,-157.016,715.143,794.305
1991-06-30,148938.0,-125.0,694.443,757.464
1991-07-01,149063.0,125.0,749.504,686.483
1991-07-02,149250.5,187.5,719.043,624.512
1991-07-03,149690.891,440.391,839.682,617.651
1991-07-04,150162.484,471.594,858.756,620.994
1991-07-05,150792.297,629.812,1023.848,706.317
1991-07-06,151011.969,219.672,1112.094,1001.343
1991-07-07,150979.703,-32.266,1164.226,1180.493
1991-07-08,150792.297,-187.406,1082.246,1176.73
1991-07-09,150508.109,-284.188,987.778,1131.056
1991-07-10,150288.438,-219.672,905.888,1016.639
1991-07-11,150193.203,-95.234,868.917,916.931
1991-07-12,150162.484,-30.719,807.364,822.852
1991-07-13,150162.484,0.0,680.99,680.99
