DateTime,thf_id,thf_qd,thf_af
1996-03-02,340.59,337.0,13727.31
1996-03-03,397.69,395.0,13754.44
1996-03-04,446.04,435.0,13801.63
1996-03-05,492.55,499.0,13815.79
1996-03-06,493.05,497.0,13829.94
1996-03-07,467.81,479.0,13829.94
1996-03-08,476.2,482.0,13842.92
1996-03-09,480.54,489.0,13850.0
1996-03-10,479.57,488.0,13857.08
1996-03-11,487.27,496.0,13864.15
1996-03-12,493.72,513.0,13850.0
1996-03-13,522.32,513.0,13891.29
1996-03-14,482.54,495.0,13891.29
1996-03-15,490.7,502.0,13891.29
1996-03-16,451.02,480.0,13857.08
1996-03-17,462.0,477.0,13850.0
1996-03-18,488.25,497.0,13857.08
1996-03-19,501.28,507.0,13871.23
1996-03-20,503.87,516.0,13871.23
1996-03-21,513.81,520.0,13884.21
1996-03-22,527.44,533.0,13898.37
1996-03-23,504.57,527.0,13877.13
1996-03-24,485.72,525.0,13822.86
1996-03-25,479.24,490.0,13822.86
1996-03-26,510.52,502.0,13864.15
1996-03-27,482.9,505.0,13850.0
1996-03-28,491.87,520.0,13815.79
1996-03-29,513.77,510.0,13850.0
1996-03-30,502.06,510.0,13857.08
1996-03-31,496.91,505.0,13864.15
1996-04-01,506.28,513.0,13877.13
1996-04-02,529.24,542.0,13877.13
1996-04-03,533.51,546.0,13877.13
1996-04-04,517.85,530.0,13877.13
1996-04-05,511.09,519.0,13884.21
1996-04-06,502.29,515.0,13884.21
1996-04-07,539.54,537.0,13918.42
1996-04-08,567.68,566.0,13952.63
1996-04-09,623.8,626.0,13986.84
1996-04-10,666.07,686.0,13980.95
1996-04-11,726.57,725.0,14021.8
1996-04-12,731.21,755.0,14001.0
1996-04-13,730.88,748.0,13993.92
1996-04-14,716.82,726.0,14001.0
1996-04-15,714.22,720.0,14015.68
1996-04-16,705.89,728.0,14008.34
1996-04-17,771.32,777.0,14029.15
1996-04-18,728.62,764.0,13980.95
1996-04-19,707.7,724.0,13973.87
1996-04-20,669.74,693.0,13945.55
1996-04-21,642.47,658.0,13939.66
1996-04-22,636.63,649.0,13939.66
1996-04-23,594.33,608.0,13932.58
1996-04-24,665.23,668.0,13966.79
1996-04-25,664.75,677.0,13966.79
1996-04-26,615.36,646.0,13925.5
1996-04-27,592.27,612.0,13905.44
1996-04-28,562.78,577.0,13898.37
1996-04-29,533.2,547.0,13891.29
1996-04-30,529.65,535.0,13905.44
1996-05-01,454.69,498.0,13835.84
1996-05-02,479.42,487.0,13842.92
1996-05-03,434.69,464.0,13801.63
1996-05-04,440.67,448.0,13808.71
1996-05-05,423.11,435.0,13801.63
1996-05-06,394.15,406.0,13795.73
1996-05-07,357.59,372.0,13774.5
1996-05-08,264.83,304.0,13691.92
1996-05-09,213.69,236.0,13644.73
1996-05-10,178.42,189.0,13616.42
1996-05-11,148.72,151.0,13603.44
1996-05-12,171.75,153.0,13644.73
1996-05-13,179.8,183.0,13644.73
1996-05-14,363.75,321.0,13774.5
1996-05-15,693.51,616.0,14008.34
1996-05-16,874.72,862.0,14086.66
1996-05-17,935.01,938.0,14122.15
1996-05-18,1048.35,1050.0,14185.79
1996-05-19,1094.56,1110.0,14178.44
1996-05-20,1029.44,1050.0,14157.64
1996-05-21,947.19,972.0,14142.96
1996-05-22,1155.66,1150.0,14228.62
