DateTime,isl_id,isl_qd,isl_af
2004-06-19,522.53,42.8,125597.61
2004-06-20,676.86,42.77,125047.91
2004-06-21,641.69,42.75,124420.52
2004-06-22,411.2,42.73,123330.0
2004-06-23,682.86,42.7,122790.22
2004-06-24,520.38,42.67,121942.05
2004-06-25,780.92,100.72,121408.34
2004-06-26,729.9,175.91,120495.75
2004-06-27,649.39,177.45,119443.3
2004-06-28,698.9,177.29,118469.22
2004-06-29,610.17,177.1,117358.81
2004-06-30,689.22,176.99,116405.19
2004-07-01,583.18,96.85,115459.44
2004-07-02,717.44,35.35,114950.56
2004-07-03,502.08,35.32,114016.51
2004-07-04,1086.64,35.31,114230.02
2004-07-05,545.86,35.29,113374.87
2004-07-06,584.11,35.27,112591.62
2004-07-07,656.68,60.51,111870.99
2004-07-08,402.59,175.14,110329.03
2004-07-09,674.24,241.43,109167.19
2004-07-10,670.41,242.93,108017.59
2004-07-11,525.77,240.76,106600.93
2004-07-12,603.66,237.89,105338.77
2004-07-13,552.52,316.39,103816.49
2004-07-14,683.55,374.8,102454.93
2004-07-15,670.93,369.9,101108.01
2004-07-16,580.91,366.71,99582.55
2004-07-17,620.92,366.02,98136.45
2004-07-18,519.85,365.48,96509.7
2004-07-19,656.97,357.57,95174.77
2004-07-20,756.03,403.68,94056.16
2004-07-21,665.67,348.65,92758.32
2004-07-22,460.76,342.46,91093.71
2004-07-23,697.07,329.96,89897.82
2004-07-24,622.71,323.0,88594.11
2004-07-25,672.12,322.46,87368.57
2004-07-26,541.36,312.17,85923.34
2004-07-27,229.52,285.34,83899.24
2004-07-28,1005.52,266.85,83473.82
2004-07-29,521.2,263.29,82087.78
2004-07-30,512.76,262.97,80724.66
2004-07-31,639.61,262.54,79613.14
2004-08-01,515.45,262.12,78235.52
2004-08-02,639.22,261.69,77103.4
2004-08-03,658.87,261.21,75990.41
2004-08-04,593.85,260.8,74728.63
2004-08-05,559.89,260.47,73419.33
2004-08-06,662.18,259.89,72332.74
2004-08-07,545.64,259.58,70995.16
2004-08-08,583.76,259.09,69733.2
2004-08-09,586.33,258.67,68496.16
2004-08-10,661.66,258.22,67428.37
2004-08-11,551.35,257.74,66181.47
2004-08-12,529.15,257.26,64910.36
2004-08-13,568.26,256.77,63756.49
2004-08-14,504.19,256.33,62475.55
2004-08-15,528.52,255.81,61262.7
2004-08-16,551.49,255.3,60075.58
2004-08-17,663.65,254.85,59130.75
2004-08-18,528.32,254.37,57897.66
