DateTime,Inflow_cfs,Release_cfs,Storage_acft,Gain_cfs
2005-06-04,1598.59,,648041.0,902.59
2005-06-05,1851.2,,648298.0,1231.2
2005-06-06,1366.83,,648041.0,832.83
2005-06-07,834.58,,646717.0,530.58
2005-06-08,1372.52,,646460.0,980.52
2005-06-09,1137.25,,645933.0,814.25
2005-06-10,1048.82,,645407.0,842.82
2005-06-11,1052.34,,644881.0,857.34
2005-06-12,787.43,,643829.0,592.43
2005-06-13,659.91,,642523.0,462.91
2005-06-14,840.75,,640949.0,643.75
2005-06-15,605.96,,638598.0,344.96
2005-06-16,604.22,,636240.0,148.22
2005-06-17,2320.63,,637285.0,1346.63
2005-06-18,1808.49,,637285.0,1085.49
2005-06-19,1279.54,,636240.0,790.54
2005-06-20,892.88,,634420.0,402.88
2005-06-21,894.14,,632603.0,488.14
2005-06-22,897.67,,630776.0,532.67
2005-06-23,901.45,,628965.0,539.45
2005-06-24,641.51,,626638.0,279.51
2005-06-25,782.58,,624568.0,400.58
2005-06-26,657.73,,622238.0,269.73
2005-06-27,1575.85,,621722.0,1122.85
2005-06-28,1557.82,,621206.0,823.82
2005-06-29,1418.89,,620439.0,494.89
2005-06-30,1168.1,,619158.0,516.1
2005-07-01,905.13,,617352.0,574.13
2005-07-02,661.45,,615049.0,411.45
2005-07-03,405.96,,612238.0,155.96
2005-07-04,663.89,,609933.0,430.89
2005-07-05,418.9,,607135.0,255.9
2005-07-06,597.76,,604592.0,452.76
2005-07-07,125.16,,601053.0,-19.84
2005-07-08,899.78,,599029.0,760.78
2005-07-09,270.33,,595742.0,162.33
2005-07-10,418.82,,592734.0,309.82
2005-07-11,414.84,,589724.0,305.84
2005-07-12,497.7,,586978.0,388.7
2005-07-13,288.74,,583731.0,179.74
2005-07-14,54.57,,580010.0,-54.43
2005-07-15,433.78,,577039.0,326.78
2005-07-16,,,575316.0,
2005-07-17,-570.78,,570395.0,-664.78
2005-07-18,192.11,,566979.0,98.11
2005-07-19,443.27,,564053.0,344.27
2005-07-20,329.29,,560903.0,227.29
2005-07-21,348.18,,557767.0,256.18
2005-07-22,480.21,,554878.0,389.21
2005-07-23,111.77,,551291.0,20.77
2005-07-24,489.84,,548429.0,398.84
2005-07-25,254.73,,545105.0,164.73
2005-07-26,-99.83,,541087.0,-188.83
2005-07-27,383.73,,538024.0,294.73
2005-07-28,382.46,,534955.0,293.46
2005-07-29,390.24,,531904.0,302.24
2005-07-30,271.12,,528620.0,183.12
2005-07-31,508.26,,525822.0,420.26
2005-08-01,388.65,,522779.0,325.65
2005-08-02,635.1,,520220.0,570.1
2005-08-03,403.61,,517200.0,338.61
2005-08-04,285.57,,513949.0,224.57
2005-08-05,412.11,,510943.0,354.11
